model,teknik,akurasi_%,std_%,dacc_poin,ukuran_MB,latensi_cpu_ms
ghost,fp32,99.78,0.26,+0.00,16.51,13.18
ghost,M1_dyn,99.62,0.31,-0.17,4.62,28.38
ghost,M2_fp16,99.78,0.26,+0.00,8.34,25.21
ghost,M3_qdq,98.83,0.50,-0.95,4.86,140.41
edge,fp32,99.77,0.24,+0.00,14.85,7.28
edge,M1_dyn,99.60,0.34,-0.17,4.26,14.96
edge,M2_fp16,99.77,0.24,+0.00,8.42,19.02
edge,M3_qdq,99.58,0.34,-0.18,13.85,15.64
