model,teknik,akurasi_%,std_%,dacc_poin,ukuran_MB,latensi_cpu_ms
ghost,fp32,90.03,1.40,+0.00,16.51,21.66
ghost,M1_dyn,89.40,1.17,-0.63,4.62,26.31
ghost,M2_fp16,90.10,1.36,+0.07,8.34,23.49
ghost,M3_qdq,82.17,2.24,-7.87,4.86,29.75
edge,fp32,92.27,1.27,+0.00,14.85,7.74
edge,M1_dyn,90.95,1.26,-1.32,4.26,16.07
edge,M2_fp16,92.27,1.26,+0.00,8.42,18.71
edge,M3_qdq,91.07,1.20,-1.20,13.85,15.43
