model,teknik,akurasi_%,std_%,dacc_poin,ukuran_MB,latensi_cpu_ms
ghost,fp32,95.80,1.09,+0.00,16.51,13.57
ghost,M1_dyn,95.58,1.19,-0.22,4.62,28.48
ghost,M2_fp16,95.80,1.09,+0.00,8.34,26.66
ghost,M3_qdq,93.18,1.21,-2.62,4.86,28.12
edge,fp32,95.62,1.07,+0.00,14.85,7.56
edge,M1_dyn,95.08,1.34,-0.53,4.26,14.65
edge,M2_fp16,95.62,1.07,+0.00,8.42,18.90
edge,M3_qdq,95.32,1.12,-0.30,13.85,15.82
