model,teknik,akurasi_%,std_%,dacc_poin,ukuran_MB,latensi_cpu_ms
ghost,fp32,97.52,0.86,+0.00,16.51,15.43
ghost,M1_dyn,96.60,0.55,-0.92,4.62,28.33
ghost,M2_fp16,97.45,0.83,-0.07,8.34,23.46
ghost,M3_qdq,92.35,0.91,-5.17,4.86,28.66
edge,fp32,96.85,0.87,+0.00,14.85,7.06
edge,M1_dyn,95.73,1.01,-1.12,4.26,16.33
edge,M2_fp16,96.85,0.87,+0.00,8.42,16.47
edge,M3_qdq,95.45,1.13,-1.40,13.85,13.30
