model,teknik,akurasi_%,std_%,dacc_poin,ukuran_MB,latensi_cpu_ms
ghost,fp32,93.67,1.29,+0.00,16.51,13.48
ghost,M1_dyn,92.00,1.74,-1.67,4.62,39.66
ghost,M2_fp16,93.71,1.30,+0.04,8.34,35.36
ghost,M3_qdq,86.96,1.25,-6.71,4.86,44.61
edge,fp32,95.89,1.04,+0.00,14.85,11.16
edge,M1_dyn,94.40,1.23,-1.49,4.26,23.20
edge,M2_fp16,95.87,1.06,-0.01,8.42,25.42
edge,M3_qdq,94.29,1.47,-1.60,13.85,21.18
