model,teknik,akurasi_%,std_%,dacc_poin,ukuran_MB,latensi_cpu_ms
ghost,fp32,99.70,0.19,+0.00,16.51,20.50
ghost,M1_dyn,99.69,0.26,-0.01,4.62,24.80
ghost,M2_fp16,99.70,0.19,+0.00,8.34,22.85
ghost,M3_qdq,98.93,0.31,-0.77,4.86,27.61
edge,fp32,99.54,0.12,+0.00,14.85,7.05
edge,M1_dyn,99.46,0.20,-0.09,4.26,14.02
edge,M2_fp16,99.54,0.12,+0.00,8.42,16.16
edge,M3_qdq,99.39,0.18,-0.16,13.85,14.65
